id,state,region,title,model_year,price,type,chassis_make,body_make,chassis_type,fuel,is_4wd,mileage,engine_hours,pump_hours,pump_gpm,tank_gal,last_modified,category_id
0205b69b-a7c9-4fea-9102-b89f52f573c4,AL,South,2022 Freightliner Vac-Con Hydrovac,2022,364999,hydrovac,Freightliner,Vac-Con,2-door-commercial,diesel,,10565,1400,500,60,2000,2026-07-29T23:16:47.753Z,399f25f9-1380-427d-a067-7e931d2d4dde
14368584-a0d5-40c1-a85b-cccc06be870b,AL,South,New LEMCO 7000 Loader on 2017 Freightliner,2017,229000,,Freightliner,,2-door-commercial,,,119074,,,,,2026-08-06T16:31:12.730Z,79c8d05c-40dd-468d-9730-09a47f70150f
b9be5a07-835b-4ae9-8298-acaf69408f16,AL,South,2012 Rosenbauer Pumper,2012,295000,pumper-engine,Rosenbauer,Rosenbauer,4-door-commercial,diesel,,52652,6886,,1000,750,2026-07-16T17:13:18.552Z,fa257783-f061-4187-9eac-110ffe1f7c13
a588a7a9-9e14-41a0-ac25-306023bbd00c,AL,South,2009 International Crimson Pumper,2009,130000,pumper-engine,Crimson,International,2-door-commercial,diesel,,45167,4137,,1500,1000,2026-07-16T17:13:24.627Z,fa257783-f061-4187-9eac-110ffe1f7c13
178d4375-8393-4611-bbdd-fd9f3f870bbb,AL,South,2008 KME International Tanker,2008,175000,tanker-tender,International,KME,4-door-commercial,diesel,,10600,,,500,2000,2026-07-23T17:33:07.789Z,fb52f135-446f-4724-b502-a8d9c4f58493
a336d88b-beb0-4695-90c0-34bc97427b99,AL,South,2008 Deep South Ford Brush Truck,2008,150000,brush-truck,Ford,Deep South,4-door-commercial,diesel,,22100,,,,,2026-06-25T03:00:01.662Z,6fe8c974-200e-4e53-b687-4988ae13f4ee
068cb4f9-8eba-40fc-9c96-87153b136525,AL,South,2001 Pierce Enforcer Pumper,2001,40000,pumper-engine,Pierce,Pierce,custom,,,105304,,,1250,750,2026-08-13T15:57:30.858Z,fa257783-f061-4187-9eac-110ffe1f7c13
96bccd77-f559-4f2f-8bd3-37fab60f8f47,AL,South,1995 E-One Pumper,1995,55000,pumper-engine,E-One,E-One,custom,diesel,,25875,,,1250,1000,2026-06-11T01:52:03.522Z,fa257783-f061-4187-9eac-110ffe1f7c13
3e8d31da-0f9d-47fa-aaa8-a7b237fc87cf,AL,South,2002 E-One International Pumper,2002,60000,pumper-engine,International,E-One,4-door-commercial,diesel,,49180,4804,,1500,750,2026-06-10T15:13:14.265Z,fa257783-f061-4187-9eac-110ffe1f7c13
e18f6150-71bf-463c-8849-1f67640a78d5,AL,South,2014 Mack GU713 Dump Truck,2014,85000,dump-truck,Mack,,2-door-commercial,diesel,,411000,,,,,2026-07-21T12:45:59.594Z,3e918b89-8111-4445-ab7e-2c9b49127342
69f9caba-2eb2-4387-ac98-370b54493b02,AL,South,2008 Ford Type III Ambulance,2008,6900,type-3,Ford,Other,2-door-commercial,diesel,,206000,,,,,2026-07-27T20:41:07.121Z,a81d9a9c-4e1f-4d12-8a69-c1f20a885b44
941d6173-5299-4610-87f9-61e932815c86,AL,South,1981 International 2275S Dump Truck,1981,25000,dump-truck,International,,2-door-commercial,,,275000,,,,,2026-07-29T14:54:02.276Z,3e918b89-8111-4445-ab7e-2c9b49127342
6b4cd9c5-c43e-40da-b919-b359fb60cd32,AL,South,2004 Command Unit,2004,25000,command-unit,Other,Other,2-door-commercial,diesel,,335000,,,,,2026-08-11T01:14:51.791Z,804902f4-571d-45ba-a152-ba389e77cdf8
499c1761-6af7-4b6c-acd2-ec80cc01092e,AL,South,2007 Mack cv713 Dump Truck,2007,40000,dump-truck,Mack,,2-door-commercial,diesel,,500000,,,,,2026-07-26T22:12:45.897Z,3e918b89-8111-4445-ab7e-2c9b49127342
